epstein_name,entity,entity_type,action,timestamp,doc_id,claim_id,sequence_order,document_category,file_path,paragraph_summary,entity_original
Jeffrey Epstein,Bill Clinton,government official,flew,1990-01-01,TEXT-001-HOUSE_OVERSIGHT_017771,TEXT-001-HOUSE_OVERSIGHT_017771:8,8,court_filing,data/new_docs_nov2024_processed/tranche_014/TEXT-001-HOUSE_OVERSIGHT_017771.txt,"The document is an excerpt from the June 27, 2011 Vanity Fair article “The Talented Mr. Epstein,” filed as Exhibit 8 in the federal case 1:19‑cv‑03377. It chronicles Jeffrey Epstein’s rise from a Bear Stearns limited partner to a billionaire‑level money manager for clients such as Leslie Wexner, describing his opulent residences, private‑jet travel with figures like Bill Clinton and Kevin Spacey, and his involvement in controversial financial schemes with Steven Hoffenberg. The piece also details numerous legal challenges, including SEC testimony, lawsuits by Citibank and the U.S. Attorney’s Office, and his philanthropic donations to Harvard. By documenting these connections and controversies, the exhibit provides context for the broader investigation into Epstein’s activities and relationships with powerful individuals.",Bill Clinton
Jeffrey Epstein,Kevin Spacey,,flew,1990-01-01,TEXT-001-HOUSE_OVERSIGHT_017771,TEXT-001-HOUSE_OVERSIGHT_017771:9,9,court_filing,data/new_docs_nov2024_processed/tranche_014/TEXT-001-HOUSE_OVERSIGHT_017771.txt,"The document is an excerpt from the June 27, 2011 Vanity Fair article “The Talented Mr. Epstein,” filed as Exhibit 8 in the federal case 1:19‑cv‑03377. It chronicles Jeffrey Epstein’s rise from a Bear Stearns limited partner to a billionaire‑level money manager for clients such as Leslie Wexner, describing his opulent residences, private‑jet travel with figures like Bill Clinton and Kevin Spacey, and his involvement in controversial financial schemes with Steven Hoffenberg. The piece also details numerous legal challenges, including SEC testimony, lawsuits by Citibank and the U.S. Attorney’s Office, and his philanthropic donations to Harvard. By documenting these connections and controversies, the exhibit provides context for the broader investigation into Epstein’s activities and relationships with powerful individuals.",Kevin Spacey
Jeffrey Epstein,Alan M. Dershowitz,legal_counsel,flew with,1998-01-01,HOUSE_OVERSIGHT_021951,HOUSE_OVERSIGHT_021951:3,3,transcript,data/new_docs_nov2024_processed/tranche_006/HOUSE_OVERSIGHT_021951.txt,"The document is a fragmentary transcript of a House Oversight interview (marked as a rough draft) where the interviewer asks a witness about the age of a woman named Tatiana and whether she traveled with Professor Alan Dershowitz. The witness confirms that Tatiana was at least 18 years old at the time of the flight, noting that Dershowitz’s wife had verified her age via a Google search. The discussion then shifts to the broader timeline, mentioning that Dershowitz flew with Jeffrey Epstein in 1998, 2004, and 2005, suggesting a multi‑year period of association. The exchange is relevant to investigations into possible misconduct or illegal travel involving minors and high‑profile individuals. No definitive conclusions are drawn, but the testimony establishes a factual baseline for further inquiry.",Professor Dershowitz
Jeffrey Epstein,Virginia Roberts Giuffre,victim,traveled internationally on private jet with,1999,HOUSE_OVERSIGHT_012103,HOUSE_OVERSIGHT_012103:9,9,transcript,data/001_split/HOUSE_OVERSIGHT_012103.txt,"This document is a transcript of a telephone interview conducted on April 7, 2011, between Virginia Roberts (in Australia), her attorney Brad Edwards, and Edwards's lawyer Jack Scarola. Roberts provides detailed testimony about her relationship with Jeffrey Epstein from approximately 1998 to 2002, when she was a minor. She describes how she was recruited through Ghislaine Maxwell while working at Mar-a-Lago, then engaged in sexual activities with Epstein that evolved into a 'full-time employment' arrangement involving massage services that included sexual conduct. Roberts testifies that Epstein systematically recruited underage girls for sexual purposes, sent her to provide 'erotic massages' to his associates, traveled extensively with him on his private jet, and engaged in elaborate schemes to procure and exploit minors. She identifies numerous public figures who traveled with or visited Epstein, names other victims, and describes Epstein's bragging about his connections to powerful people including Bill Clinton. The interview was conducted to supplement evidence for Edwards's legal case against Epstein and documents Roberts's willingness to provide testimony about these crimes despite her previous reluctance due to fear and desire to protect her family.",Virginia Roberts Giuffre
Jeffrey Epstein,Bill Clinton,government official,transported on private jet with,1999-01-01,HOUSE_OVERSIGHT_015529,HOUSE_OVERSIGHT_015529:8,8,mixed_document,data/001_split/HOUSE_OVERSIGHT_015529.txt,"This document is a compilation of legal exhibits spanning 2011-2015 documenting allegations of sexual trafficking and abuse orchestrated by Jeffrey Epstein and Ghislaine Maxwell. The core of the collection includes a detailed April 2011 telephone interview with Virginia Roberts (later known as Virginia Giuffre) in which she describes being recruited at age 15 by Maxwell to work as a masseuse for Epstein, which evolved into systematic sexual exploitation involving travel on private jets and procurement of underage girls. Supporting materials include a defamation lawsuit (Giuffre v. Maxwell) filed in federal court, depositions in related litigation against attorney Alan Dershowitz, and correspondence between lawyers, journalists, and law enforcement regarding the case. The documents reveal Epstein's 2008 plea agreement and sex offender registration, efforts to intimidate victims into silence, and the involvement of prominent figures including Prince Andrew and Bill Clinton. The collection demonstrates a multi-year investigation, victim cooperation efforts, media coverage coordination, and the legal strategies employed by multiple parties.",Bill Clinton
Jeffrey Epstein,"Prince Andrew, Duke of York",victim,transported on private jet with,1999-01-01,HOUSE_OVERSIGHT_015529,HOUSE_OVERSIGHT_015529:9,9,mixed_document,data/001_split/HOUSE_OVERSIGHT_015529.txt,"This document is a compilation of legal exhibits spanning 2011-2015 documenting allegations of sexual trafficking and abuse orchestrated by Jeffrey Epstein and Ghislaine Maxwell. The core of the collection includes a detailed April 2011 telephone interview with Virginia Roberts (later known as Virginia Giuffre) in which she describes being recruited at age 15 by Maxwell to work as a masseuse for Epstein, which evolved into systematic sexual exploitation involving travel on private jets and procurement of underage girls. Supporting materials include a defamation lawsuit (Giuffre v. Maxwell) filed in federal court, depositions in related litigation against attorney Alan Dershowitz, and correspondence between lawyers, journalists, and law enforcement regarding the case. The documents reveal Epstein's 2008 plea agreement and sex offender registration, efforts to intimidate victims into silence, and the involvement of prominent figures including Prince Andrew and Bill Clinton. The collection demonstrates a multi-year investigation, victim cooperation efforts, media coverage coordination, and the legal strategies employed by multiple parties.","Prince Andrew, Duke of York"
Jeffrey Epstein,Virginia Roberts Giuffre,victim,began international travel with,1999-01-01,HOUSE_OVERSIGHT_015529,HOUSE_OVERSIGHT_015529:6,6,mixed_document,data/001_split/HOUSE_OVERSIGHT_015529.txt,"This document is a compilation of legal exhibits spanning 2011-2015 documenting allegations of sexual trafficking and abuse orchestrated by Jeffrey Epstein and Ghislaine Maxwell. The core of the collection includes a detailed April 2011 telephone interview with Virginia Roberts (later known as Virginia Giuffre) in which she describes being recruited at age 15 by Maxwell to work as a masseuse for Epstein, which evolved into systematic sexual exploitation involving travel on private jets and procurement of underage girls. Supporting materials include a defamation lawsuit (Giuffre v. Maxwell) filed in federal court, depositions in related litigation against attorney Alan Dershowitz, and correspondence between lawyers, journalists, and law enforcement regarding the case. The documents reveal Epstein's 2008 plea agreement and sex offender registration, efforts to intimidate victims into silence, and the involvement of prominent figures including Prince Andrew and Bill Clinton. The collection demonstrates a multi-year investigation, victim cooperation efforts, media coverage coordination, and the legal strategies employed by multiple parties.",Virginia Roberts Giuffre
Jeffrey Epstein,unknown person A,model,traveled with,1999-01-01,HOUSE_OVERSIGHT_010895,HOUSE_OVERSIGHT_010895:0,0,court_filing,data/new_docs_nov2024_processed/tranche_017/HOUSE_OVERSIGHT_010895.txt,"The document is a page from a federal court filing (Case 9:08‑cv‑80736‑KAM) in which the declarant describes a five‑year period (1999‑summer 2002) spent traveling and living with Jeffrey Epstein at multiple elite properties, including New York City, Santa Fe, Palm Beach, the U.S. Virgin Islands, and Paris. The declarant states they were used as Epstein’s sex slave, had frequent sexual encounters with him and others, and were paid for many of those encounters. Photographs taken in New Mexico are cited as evidence, showing the declarant at a Santa Fe museum, on Epstein’s horse, and at his Zorro Ranch. The testimony underscores the pattern of sexual exploitation, financial compensation, and the extensive travel that facilitated the abuse.",unknown person A
Jeffrey Epstein,Virginia Roberts Giuffre,victim,began traveling with,1999-06-01,HOUSE_OVERSIGHT_012118,HOUSE_OVERSIGHT_012118:0,0,transcript,data/new_docs_nov2024_processed/tranche_010/HOUSE_OVERSIGHT_012118.txt,"The document is a transcript of a telephone interview conducted by an investigator identified as JS with Virginia Roberts. Roberts recounts that she began traveling with Jeffrey Epstein immediately after their relationship started, initially domestically and later internationally around the summer of 1999, using Epstein's private jet and visiting locations such as New York, Santa Fe, the Caribbean, California, St. Louis, New Orleans, and Santa Cruz. The interview touches on sensitive topics, including Roberts' fear of discussing alleged erotic massages. This testimony is part of a larger oversight investigation, likely aimed at establishing a factual record of Epstein's travel patterns and associated activities.",Virginia Roberts Giuffre
Jeffrey Epstein,Virginia Roberts Giuffre,victim,transported and sexually abused,1999-09-00,HOUSE_OVERSIGHT_010887,HOUSE_OVERSIGHT_010887:2,2,court_filing,data/001_split/HOUSE_OVERSIGHT_010887.txt,"This legal document collection consists of court filings from a defamation case (CACE 15-000072) in Broward County, Florida, where attorneys Edwards and Cassell sued Harvard Law Professor Alan Dershowitz for his public statements calling them liars. The core exhibits include Virginia Roberts Giuffre's extensive declaration describing her trafficking by Jeffrey Epstein from 1999-2002, during which she alleges being sexually abused by Epstein, Dershowitz (at least six times), Prince Andrew (three times), Jean-Luc Brunel, and others. Dershowitz's legal team filed a motion seeking clarification on whether they could disclose Giuffre's sealed deposition testimony to prosecutors to initiate perjury investigations, arguing her claims about meeting President Clinton on Epstein's private island are false based on Secret Service records showing no Clinton visits to the island during the relevant 2001-2002 timeframe. The document provides detailed testimony from Giuffre about the mechanics of Epstein's sex trafficking operation, including Ghislaine Maxwell's role as recruiter and abuser, the recruitment and movement of underage girls to multiple properties, and Epstein's use of sexual coercion to obtain leverage over powerful men. The filing represents a multi-layered legal battle over credibility, discovery scope, and the treatment of sealed testimony in a sex trafficking investigation.",Virginia Roberts Giuffre
