Source,Target,Weight,legal_prop,legal_weight,dominant_document_group,Type
Adriana Mucinska,Alan M. Dershowitz,2,1.0,2.0,legal,Undirected
Adriana Mucinska,Bill Clinton,3,0.6666666666666666,2.0,legal,Undirected
Al Gore,Ghislaine Maxwell,3,0.3333333333333333,1.0,media,Undirected
Al Gore,Lawrence Summers,1,0.0,0.0,communication,Undirected
Al Gore,Virginia Roberts Giuffre,8,0.125,1.0,media,Undirected
Alan M. Dershowitz,Bill Clinton,6,0.5,3.0,media,Undirected
Alan M. Dershowitz,Donald Trump,12,0.08333333333333333,1.0,media,Undirected
Alan M. Dershowitz,Ghislaine Maxwell,11,0.8181818181818182,9.0,legal,Undirected
Alan M. Dershowitz,Nadia Marcinkova,4,1.0,4.0,legal,Undirected
Alan M. Dershowitz,"Prince Andrew, Duke of York",4,0.75,3.0,legal,Undirected
Alan M. Dershowitz,Sarah Kellen,5,0.8,4.0,legal,Undirected
Alan M. Dershowitz,Virginia Roberts Giuffre,93,0.6344086021505376,59.0,legal,Undirected
Bill Clinton,Chris Tucker,4,0.25,1.0,media,Undirected
Bill Clinton,Donald Trump,6,0.0,0.0,communication,Undirected
Bill Clinton,Ehud Barak,85,0.11764705882352941,10.0,media,Undirected
Bill Clinton,Ghislaine Maxwell,53,0.16981132075471697,9.0,communication,Undirected
Bill Clinton,Kevin Spacey,4,0.25,1.0,media,Undirected
Bill Clinton,Larry Visoski,4,0.75,3.0,legal,Undirected
Bill Clinton,Naomi Campbell,3,1.0,3.0,legal,Undirected
Bill Clinton,Sandy Berger,1,0.0,0.0,communication,Undirected
Bill Clinton,Sarah Kellen,6,0.5,3.0,media,Undirected
Bill Clinton,Virginia Roberts Giuffre,27,0.4444444444444444,12.0,media,Undirected
Donald Trump,Donald Trump,19,0.0,0.0,financial,Undirected
Donald Trump,Larry Visoski,14,0.0,0.0,communication,Undirected
Donald Trump,Lawrence Summers,21,0.0,0.0,communication,Undirected
Donald Trump,Virginia Roberts Giuffre,3,0.3333333333333333,1.0,media,Undirected
Ehud Barak,Ghislaine Maxwell,15,0.0,0.0,communication,Undirected
Ehud Barak,Lawrence Summers,1,0.0,0.0,communication,Undirected
Ehud Barak,Sandy Berger,3,0.0,0.0,media,Undirected
Ghislaine Maxwell,Lawrence Summers,2,0.0,0.0,media,Undirected
Ghislaine Maxwell,Nadia Marcinkova,1,0.0,0.0,media,Undirected
Ghislaine Maxwell,"Prince Andrew, Duke of York",35,0.14285714285714285,5.0,communication,Undirected
Ghislaine Maxwell,Virginia Roberts Giuffre,93,0.4838709677419355,45.0,legal,Undirected
Heidi Klum,Virginia Roberts Giuffre,1,1.0,1.0,legal,Undirected
Jean-Luc Didier Henri-Rene Brunel,Naomi Campbell,2,0.0,0.0,media,Undirected
Jean-Luc Didier Henri-Rene Brunel,Virginia Roberts Giuffre,2,1.0,2.0,legal,Undirected
Nadia Marcinkova,"Prince Andrew, Duke of York",2,0.0,0.0,media,Undirected
Naomi Campbell,Virginia Roberts Giuffre,3,0.6666666666666666,2.0,legal,Undirected
"Prince Andrew, Duke of York",Sarah Kellen,1,0.0,0.0,media,Undirected
"Prince Andrew, Duke of York",Virginia Roberts Giuffre,65,0.4,26.0,media,Undirected
