Id,Label,degree_full,betweenness_full,pagerank_full,eigenvector_full,degree_legal,betweenness_legal,pagerank_legal,eigenvector_legal
Adriana Mucinska,Adriana Mucinska,5.0,0.03076923076923077,0.010492618527196131,0.009460274238040418,4.0,0.0,0.017204736075124745,0.01564334874683806
Al Gore,Al Gore,12.0,0.021538461538461538,0.014273969851014808,0.0344438021534223,2.0,0.11666666666666667,0.012174160894323546,0.012742239716641903
Alan M. Dershowitz,Alan M. Dershowitz,137.0,0.012307692307692308,0.09339402445822616,0.3567966771570929,85.0,0.475,0.1724507031412182,0.5192856404096101
Bill Clinton,Bill Clinton,202.0,0.28923076923076924,0.151134298766752,0.34055664516384915,47.0,0.475,0.13635631426176392,0.16032924238081644
Chris Tucker,Chris Tucker,4.0,0.0,0.009969691070262708,0.007426510595573307,1.0,0.0,0.011289592007798948,0.0018452327491241378
Donald Trump,Donald Trump,94.0,0.0,0.06602051856241985,0.0520070516314735,2.0,0.325,0.012228443203358365,0.013729550700006435
Ehud Barak,Ehud Barak,104.0,0.09846153846153846,0.07664996393026415,0.19897554780937804,10.0,0.0,0.03348415537210712,0.018452327491241375
Ghislaine Maxwell,Ghislaine Maxwell,213.0,0.06769230769230769,0.13280356892807788,0.5014783507590805,69.0,0.004166666666666667,0.13558468816591995,0.4334988144301857
Heidi Klum,Heidi Klum,1.0,0.0,0.007973224445955983,0.0032715893601455823,1.0,0.0,0.010503902467712586,0.0077531090757115406
Jean-Luc Didier Henri-Rene Brunel,Jean-Luc Didier Henri-Rene Brunel,4.0,0.0,0.011930571244041434,0.006711725250863775,2.0,0.0,0.012184275523660465,0.015506218151423081
Kevin Spacey,Kevin Spacey,4.0,0.0,0.009969691070262708,0.007426510595573307,1.0,0.0,0.011289592007798948,0.0018452327491241378
Larry Visoski,Larry Visoski,18.0,0.0,0.020445449668452274,0.011395900265882409,3.0,0.0,0.01622171719986743,0.005535698247372414
Lawrence Summers,Lawrence Summers,25.0,0.10615384615384615,0.02583680055213513,0.012694547370101427,0.0,0.0,0.0,0.0
Nadia Marcinkova,Nadia Marcinkova,7.0,0.04,0.011348723984817882,0.013964617345011839,4.0,0.0,0.015721692354347824,0.02390576649717957
Naomi Campbell,Naomi Campbell,8.0,0.09846153846153846,0.016046661814424996,0.015457833665069691,5.0,0.10416666666666667,0.019582463311763186,0.021041916398795494
"Prince Andrew, Duke of York","Prince Andrew, Duke of York",107.0,0.01846153846153846,0.06767401256760586,0.31639810882908503,34.0,0.0,0.0660381432064017,0.24445581404603653
Sandy Berger,Sandy Berger,4.0,0.11384615384615385,0.009941018938693823,0.005110912912646332,0.0,0.0,0.0,0.0
Sarah Kellen,Sarah Kellen,12.0,0.03076923076923077,0.014676549797211589,0.022590681503386813,7.0,0.0,0.023119880142450543,0.029441464744551987
Virginia Roberts Giuffre,Virginia Roberts Giuffre,295.0,0.06461538461538462,0.19001270122418829,0.6001080223461541,149.0,0.46249999999999997,0.29456554066438234,0.673648252127896
